Emiten;EPS;PER;PBV;Harga
ADRO;69,26;13,79;0,75;730
AKRA;207,72;24,31;3,32;7800
AMRT;13,82;34,01;6,04;535
ANTM;-81,61;-12,25;0,8;386
ASII;473,6;16,63;2,65;6800
BBCA;675,65;21,61;4,57;13300
BBNI;582,84;10,68;1,88;4990
BBRI;993,51;11,85;2,94;11425
BMRI;860,25;13,69;2,59;9250
BRPT;-15,47;-18,29;0,15;419
CPIN;106,51;32,25;5,15;2600
EMTK;194,96;40,01;2,7;10300
ESSA;122,02;18,03;1,94;1650
HRUM;1,89;788,36;0,89;675
INCO;216,47;16,21;1,57;1635
INDF;441,52;16,93;1,59;6900
ITMG;2264,28;8,09;1,85;5425
KLBF;44,02;41,91;8,81;1435
MEDC;38,13;81,3;0,9;1435
PGAS;371,53;14,4;3,52;2645
PTBA;876,6;12,41;2,89;6075
SMGR;943,37;15,79;3,53;11400
TLKM;145,22;20,31;3,45;3415
TOWR;82,42;47,93;8,63;4750
UNTR;1451,25;14,45;2,03;11225
UNVR;755,07;52,51;65,78;42925
ACES;32,44;21,89;5,15;835
ASRI;55,99;9,91;1,71;376
AUTO;197,5;18,48;1,87;1735
BIRD;294,04;34,01;6,94;5950
BMTR;49,65;35,15;1,56;1165
BNGA;94,07;8,4;0,69;595
DNET;27,65;33,27;1,72;1130
ERAA;72,94;12,2;0,86;695
GEMS;22,61;88,46;3,82;1400
GGRM;2825,56;18,05;2,95;65200
GJTL;77,11;16,66;0,75;780
HMSP;2313,88;29,06;21,84;110775
INDY;-65,82;-6,53;0,2;110
INKP;285,31;3,66;0,19;935
INTP;1424,56;15,71;3,32;20675
ISAT;-367,99;-11,45;1,61;5500
JPFA;31,06;29,14;1,82;810
KKGI;100,47;9,9;1,11;500
MBAP;144,38;9;2,78;1350
MYOR;451,34;64,03;6,3;31000
PWON;52,19;9,52;2,89;485
SRTG;297,38;16,48;1,15;3560
TBIG;271,15;34,21;10,77;6125
TKIM;94,33;9,01;0,2;575
TOBA;114;7,63;0,99;520
TPIA;68,05;44,09;0,91;3445
LPPF;489,35;34,02;60,86;17075
AALI;1564,81;15,64;3,26;16575
ADHI;180,04;19,11;3,54;2625
BBTN;106,25;9,98;0,91;1405
BJBR;116,26;8,17;1,29;925
BJTM;63,45;8,43;1,31;450
BYAN;-521,64;-15,1;8,26;7900
CPIN;106,51;32,25;5,15;3505
JSMR;206,39;34,52;4,24;6225
PTRO;28,03;28,01;0,33;472
TINS;86,21;12,06;1,38;635
TPMA;57,43;7,56;1,47;200
ULTJ;100,49;37,02;4,74;3800
WIKA;100,85;33,56;4,18;2350
ADES;52,59;26,24;2,75;1050
ADMF;792,17;8,68;1,69;3000
AGRO;8,38;12,05;0,82;97
APLN;41,7;10,05;1,02;298
BBYB;4,81;40,54;1,78;225
BFIN;398,06;6,78;1,16;2800
BSDE;207,64;9,9;2,04;1695
CMPP;24,76;5,01;0,8;115
CTRA;87,17;17,15;1,99;1285
DOID;23,47;5,58;0,94;54
DSSA;99,73;129,35;0,95;12100
FREN;-77,46;-0,86;0,3;51
GIAA;-179,18;-2,77;1,13;448
KPIG;59,47;23,37;1,12;1235
MPMX;108,26;7,2;0,66;495
PNLF;40,24;8,33;0,73;191
RALS;50,01;15;1,58;710
SCMA;99,56;35,15;14,71;3245
SIDO;27,68;19,69;3,1;510
SMDR;1222,31;8,18;0,45;4420
SMRA;97,1;18,23;4,26;1570
TMAS;184,27;9,77;3,86;1875
TOTL;48,14;20,36;4,18;675
