Emiten;EPS;PER;PBV;Harga
ADRO;88,13;11,06;0,8;955
AKRA;167,35;28,77;3,48;5050
AMRT;14,28;36,41;7,54;470
ANTM;43;25;0,8;1000
ASII;480;14,38;2,63;7875
BBCA;584,17;18,15;4,04;14600
BBNI;489,42;9,15;1,73;6225
BBRI;874,76;9,69;2,61;11775
BMRI;788,04;11,36;2,33;11775
BRPT;39,64;20,94;4,25;283
CPIN;154;25,88;6,57;3435
EMTK;183,77;30,2;3,34;7800
ESSA;146,87;11,92;1,76;2995
HRUM;188,69;11,66;1,24;1490
INCO;47,59;50,43;1,14;3510
INDF;285;24,91;1,62;7475
KLBF;40,93;36,4;8,22;1845
MEDC;46,48;57,66;0,82;3100
PGAS;433,43;11,36;3,59;5350
PTBA;793,98;11,9;2,88;10875
SMGR;905;16,3;4,01;14900
TLKM;140,92;16,39;3,01;2950
TOWR;16,52;166,46;7,7;3950
UNTR;1296;14,51;1,97;20975
UNVR;701;40,76;51,24;39650
