Emiten;EPS;PER;PBV;Harga
ADRO;116,52;11,67;1,76;975
AKRA;168,91;30,79;4,96;4815
AMRT;129,56;49,78;7,95;520
ANTM;113,23;11,3;1,12;1075
ASII;480;15,83;3,43;6900
BBCA;480;23,02;5,2;10600
BBNI;378;12,43;2;4480
BBRI;778,93;10,33;3,03;8475
BMRI;664,46;12,19;2,44;8950
BRPT;-125,71;-3,34;0,43;830
CPIN;163,49;22;7,32;3985
EMTK;573,07;6,81;3,25;5550
ESSA;74,46;37,94;5,98;1750
HRUM;470,83;10,19;3,84;2200
MEDC;41,58;39,2;0,67;2680
PGAS;386,8;11,89;5,25;4925
PTBA;1262;11,97;4,13;9450
SMGR;817;20,38;5,69;14750
TLKM;636,14;14,23;3,54;2310
TOWR;340;66,76;6,78;2750
UNTR;1549;12,72;2,48;18800
UNVR;634;32,89;40,09;28575
